ଏକମାତ୍ର,The only one
କଣ୍ଠଦାନ,Vocals
କରାଇ,Make it
କରାଯାଉଥିଲା,was being done
କୁକୁର,Dog
ଖୁବ,good
ଖେଳିଥିଲେ,played
ଗଳ୍ପ,Story
ଚନ୍ଦନ,Sandalwood
ଚରିତ୍ର,Character
ଚିତ୍ରନାଟ୍ୟ,Illustration
ଟେଷ୍ଟ,Test
ଥାଇ,Thai
ଦ୍ୱୀପ,Island
ନଦୀର,of the river
ନାମକରଣ,Nomenclature
ନିର୍ଭର,Trust
ପତ୍ରିକା,magazine
ପଦକ,Medal
ପରାମର୍ଶ,Advice
ପୂର୍ବେ,Previously
ପ୍ରଧାନମନ୍ତ୍ରୀ,Prime Minister
ପ୍ରବାହିତ,Flowing
ପ୍ରଶାସନିକ,administrative
ବସବାସ,Residence
ବାରମ୍ବାର,Again and again
ବାୟୁ,Air
ବିଚାରପତି,Judge
ବେଶୀ,more
ବ୍ରତ,Vow
ବ୍ରାହ୍ମଣ,Brahmin
ମହାବିଦ୍ୟାଳୟ,College
ମାତ୍ରାରେ,in measure
ମିଶ୍ରଣ,combination
ଯନ୍ତ୍ର,Machine
ଯାଉଥିବା,going
ଯିବା,to go
ଯେପରିକି,such as
ରଖିବା,keep
ରସ,Juice
ରାଜନୈତିକ,political
ସତ୍ତ୍ୱେ,Despite
ସମାଜରେ,In society
ସମେତ,including
ସର୍ବୋଚ୍ଚ,supreme
ସହାୟତା,Help
ସାକ୍ଷରତା,Literacy
ସି,c
ସେହିପରି,Likewise
ହିସାବରେ,In calculation
ହେତୁ,because of
ହୋଇଗଲା,Done
୧୧,11
୨୦୦୫,2005
୨୧,21
୪ଟି,4
ଅଣ୍ଡା,Egg
ଅନୁରୋଧ,Request
ଅନୁସରଣ,Follow up
ଅଭିନୀତ,starring
ଆକର୍ଷଣ,attraction
ଆଖି,eyes
ଆଦିବାସୀ,Tribal
ଆନ୍ଦୋଳନ,Movement
ଆସିଥିବା,came
ଇଂରେଜ,Irish
ଉଦାହରଣ,Example
ଏଥିରୁ,From this
ଏହିପରି,Thus
କମିଯାଏ,decreases
କରାଇଥିଲେ,made
କରାଯିବ,will be done
କରିପାରେ,can
କରିହେବ,can
କରୁଛି,doing
କଲିକତା,Calcutta
କଲେଜ,College
କୁହାଯାଇଥାଏ,It is said
କେ,K
ଗରମ,Hot
ଗୋଲ,Goal
ଘଟଣା,event
ଚଳଚ୍ଚିତ୍ରଟିର,of the movie
ଚାପ,Pressure
ଜଙ୍ଗଲରେ,In the forest
ଜାତିର,of caste
ଜିଲ୍ଲାରେ,In the district
ତଳ,Down
ତିଥିରେ,On Tithi
ଦୃଶ୍ୟ,Scenery
ଦୃଷ୍ଟି,Sight
ଦେଖିବା,Let's see
ଦ୍ରବ୍ୟ,Goods
ଦ୍ୱାର,The door
ଦ୍ୱାରା,by
ନିକଟସ୍ଥ,nearby
ନିମିତ୍ତ,for
ନିର୍ଦ୍ଦେଶିତ,Directed
ନିୟମିତ,regularly
ପରିଣତ,convert
ପି,P
ପିଲା,Child
ପ୍ରତିକ୍ରିୟା,response
ପ୍ରତିରୋଧ,Resistance
ପ୍ରଥା,custom
ପ୍ରଭୁ,Lord
ପ୍ରସବ,childbirth
ବଙ୍ଗଳାଦେଶୀ,Bangladeshi
ବର୍ତମାନ,Present
ବର୍ଷର,of the year
ବର୍ଷା,Rain
ବସନ୍ତ,Spring
ବିଶ୍ୱବିଦ୍ୟାଳୟରେ,In the university
ବିଶ୍ୱରେ,in the world
ବ୍ରହ୍ମା,Brahma
ମଣିଷ,Man
ମନ୍ଦିରଟି,The temple
ମାଂସପେଶୀ,muscles
ମାଈ,mother
ମାନ,Hon
ମିଶ୍ରିତ,Mixed
ଯେଉଁଠାରେ,where
ରାଜାଙ୍କ,of the king
ରାଜ୍ୟରେ,In the state
ଲମ୍ବା,tall
ଲାଗିଲେ,continued
ଶ୍ରେଣୀରେ,in class
ସଂଗ୍ରହ,Collection
ସଂଯୋଗ,Connection
ସଠିକ,Correct
ସର୍ବଦା,Always
ସାହିତ୍ୟିକ,Literary
ସାହୁ,Sahu
ସ୍ନାୟୁ,nerve
ହୋଇଛନ୍ତି,Done
ହୋଇଥିଲା।,happened.
୨୦୧୫,2015
୨୩,23
ଅଧିକାରୀ,Officer
ଅଧୀନରେ,Under
ଅନୁବାଦ,Translation
ଅସ୍ଥି,bone
ଆବଶ୍ୟକତା,Necessity
ଇଂରାଜୀରେ,In English
ଉଚିତ,Should
ଉଦ୍ଦେଶ୍ୟରେ,on purpose
ଏସିଆ,Asia
ଔଷଧର,of medicine
କଠିନ,Hard
କରାଯାଏ।,is done.
କରିପାରିବେ,can
କାର୍ଯ୍ୟକାରୀ,Effective
କାର୍ଯ୍ୟକ୍ରମ,program
କେନ୍ଦ୍ରୀୟ,Central
ଖରାପ,Bad
ଗୁଣ,Quality
ଗୁଣ୍ଡିଚା,Gundicha
ଘଟିଥିଲା,happened
ଘରୋଇ,Domestic
ଜନ୍ମିତ,born
ତତ୍କାଳୀନ,At that time
ତେଲ,Oil
ଦ,D
ଦିଆଯାଇଛି,Given
ଦିଗକୁ,towards
ଦୁର୍ବଳ,Weak
ଦେଇଥିଲା,gave
ଧାରା,Clause
ନାୟିକା,Heroine
ନିକଟକୁ,near
ନେଲେ,took
ପରିବେଷଣ,Service
ପରିମାଣର,quantity
ପାଇବା,get
ପାଏ,gets
ପାତ୍ର,pot
ପୋଲିସ,Police
ପ୍ରଜାତି,Species
ପ୍ରତିମା,Idol
ପ୍ରସାର,spread
ବର୍ଷରୁ,From the year
ବାଧା,obstacle
ବାମ,Left
ବିକାଶଶୀଳ,Developing
ବିବେଚନା,Consideration
ବିରାଟ,Huge
ବିରୁଦ୍ଧରେ,Against
ବ‌ହୁତ,a lot
ଭୂମି,land
ମଞ୍ଚ,Stage
ମାତାଙ୍କ,mother's
ମୁମ୍ବାଇ,Mumbai
ରହିଲେ,Stayed
ରାସ୍ତା,Road
ଲାଗିଲା,It took
ଶୁଷ୍କ,Dry
ସଂକଳନ,Compilation
ସଂଗଠନ,Organization
ସଂରକ୍ଷଣ,Conservation
ସଂସ୍କୃତି,Culture
ସଂସ୍ପର୍ଶରେ,In touch
ସମାଧାନ,Solution
ସମ୍ବନ୍ଧୀୟ,related to
ସାପ,Snake
ସାମିଲ,involved
ସୂର୍ଯ୍ୟ,Sun
ସେଥିପାଇଁ,That's why
ସ୍ଥଳ,land
ସ୍ଥାୟୀ,Persistent
ସ୍ପଷ୍ଟ,Obviously
ସ୍ୱଳ୍ପ,short
ସ୍ୱୀକୃତ,Recognized
ହେଉଥିଲେ,was happening
୧୯୭୭,1977
ଅପରାଧ,Crime
ଅପେକ୍ଷାକୃତ,Relatively
ଅପ୍ରେଲ,April
ଆନ୍ତର୍ଜାତୀୟ,International
ଆସିବା,to come
ଆସିଲେ,came
ଇଞ୍ଜେକସନ,injection
ଉପଦେଶ,Sermon
ଉପଶମ,The cure
ଉପାସନା,Worship
ଏଇ,AI
ଓଜନ,Weight
ଓଡ଼ିଆରେ,In Odia
କଥାଚିତ୍ରଟିରେ,In the cartoon
କରିଦିଏ,makes
କରିଦେଲେ,Did it
କଲରାପତ୍ରିଆ,cholera
କଷ୍ଟ,Difficulty
କିପରି,how
କ୍ଷତି,Loss
ଖୁବ୍,very
ଖୋଲା,Open
ଖ୍ରୀ,Mr
ଗଠିତ,consists of
ଗାଁ,Village
ଗାୟକ,Singer
ଘରକୁ,home
ଜାତି,Caste
ଜ୍ୱର,Fever
ତାପରେ,Then
ତୁମେ,you
ଥେରାପି,Therapy
ଦାବି,claim
ଦିଆ,given
ଦିଏ,gives
ଦୁଇଥର,Twice
ଦୃଷ୍ଟିରୁ,in terms of
ଦେଇଛନ୍ତି,gave
ଦେଖାଯାନ୍ତି,appear
ନଳୀ,duct
ନିଯୁକ୍ତ,Appointed
ନିର୍ଗତ,released
ନିଷ୍ପତ୍ତି,decision
ପଡ଼େ,falls
ପତ୍ରିକାରେ,in the magazine
ପରାସ୍ତ,Defeated
ପରିଚାଳିତ,Managed
ପରିମାଣ,quantity
ପରିଲକ୍ଷିତ,Observed
ପର୍ବତ,Mountain
ପର୍ଯ୍ୟଟନ,Tourism
ପାଇଲେ,Got it
ପାଖକୁ,next to
ପାଠ,Text
ପ୍ରଚଳିତ,current
ପ୍ରଜନନ,Breeding
ପ୍ରତିନିଧି,Representative
ପ୍ରତିଷେଧ,Prohibition
ଫୁଟ୍,ft
ବନ୍ଦର,port
ବିଂଶ,Twenty
ବିରୋଧ,Protest
ବିସ୍ତାର,Expansion
ଭିତର,Inside
ମଠ,Monastery
ମନେ,remember
ମହିଳାଙ୍କ,Women's
ମାଟି,Clay
ମୂଖ୍ୟ,main
ମୋଗଲ,Mughal
ମୌଳିକ,Basic
ଯଦିଓ,Although
ଯୁଗର,of the age
ଯୋଗଦାନ,engagement
ରହୁଥିବା,living
ରାତିରେ,At night
ରୋଗୀଙ୍କର,of the patient
ଲେଖାଏଁ,respectively
ଶରୀରରେ,in the body
ଶାସ୍ତ୍ରୀୟ,Classical
ଶୀଘ୍ର,Soon
ଶୀତ,Winter
ଶ୍ରୀମନ୍ଦିର,of the temple
ସଂଖ୍ୟାରେ,in numbers
ସଂରକ୍ଷିତ,Reserved
ସଭାପତି,President
ସମର୍ଥନ,Support
ସମ୍ବାଦ,News
ସରଳ,Simple
ସର୍ବ,All
ସେଥିରୁ,Of that
ସେବନ,Consumption
ସ୍ୱର,Voice
ହିମାଳୟ,The Himalayas
୨୦୦୦,2000
୨୦୧୧ରେ,In 2011
୨୦୧୪ରେ,In 2014
୨୦୧୭,2017
୨୦୧୯,2019
୨୯,29
୮,8
ଅଂଶଗ୍ରହଣ,Participation
ଅଧ୍ୟକ୍ଷ,Chairman
ଅନନ୍ତ,Eternity
ଅବଦାନ,Contribution
ଅବସ୍ଥାନ,Location
ଅସାଧାରଣ,Unusual
ଆଇ,I
ଆଧାରିତ,based on
ଆନନ୍ଦ,Joy
ଆଫ୍ରିକା,Africa
ଆବିଷ୍କୃତ,Discovered
ଇତିହାସରେ,In history
ଉଚ୍ଚତମ,the highest
ଉତ୍ସବରେ,In celebration
ଉଦ୍ୟାନର,of the garden
ଉପରକୁ,up
ଉଲ୍ଲେଖନୀୟ,Remarkable
ଏକା,Alone
ଏଣୁ,Therefore
ଏମାନଙ୍କୁ,To them
କଥିତ,Spoken
କରାଯିବା,to be done
କରିଦେଇଥିଲେ,had done
କରିବାଦ୍ୱାରା,by doing
କାବ୍ୟ,Poetry
କିଶୋର,teenager
କୁମାରୀ,Virgin
କୁହନ୍ତି,says
କୃଷି,Agriculture
କେତେ,how much
ଗୋଟି,Gotti
ଚଳଚ୍ଚିତ୍ରଟି,The movie
ଚୟନ,Selection
ଜାଗାରେ,in place
ଜାଣିବା,to know
ଜୀବାଣୁ,Bacteria
ତଥାପି,However
ତାର,Wire
ଥଣ୍ଡା,Cold
ଥାଆନ୍ତି,is
ଦୀର୍ଘକାଳୀନ,Long term
ଦେଖାଯାଇଛି,is shown
ଦେହର,Deher
ଧର୍ମର,of religion
ଧାରାବାହିକରେ,in series
ଧିରେ,Slowly
ନଡ଼ିଆ,Coconut
ନଥିବା,not
ନଥିଲା,There was no
ପଡ଼ିଥିଲା,had fallen
ପତି,Spouse
ପରଲୋକ,Hereafter
ପିଲାଙ୍କ,child's
ପୁରୀ,Puri
ପ୍ରକଳ୍ପ,project
ପ୍ରତିଦିନ,Every day
ପ୍ରତିନିଧିତ୍ୱ,representation
ପ୍ରାଣ,the soul
ପ୍ରେମ,Love
ବଙ୍ଗଳାଦେଶର,of Bangladesh
ବାତ,Arthritis
ବିପରୀତ,opposite
ବେମାରୀ,Illness
ବୈଜ୍ଞାନିକ,Scientist
ବୟସରୁ,From age
ମଣ୍ଡେଲା,Mandela
ମନରେ,in mind
ମହାପ୍ରଭୁଙ୍କ,Lord's
ମାନଙ୍କୁ,to
ମି,m
ମିଠା,Sweet
ମିଳିଲା,Found
ମୁକ୍ତି,Redemption
ମୋହନ,Mohan
ଯକୃତ,Liver
ଯାଆନ୍ତି,goes
ଯୁଦ୍ଧରେ,in war
ଯୌନ,Sex
ରହିଲା,remained
ରୋଜଗାର,Employment
ଲଢ଼ିଥିଲେ,fought
ଲୋମ,Wool
ଶାଖା,Branch
ଶ୍ରୀଲଙ୍କା,Sri Lanka
ସଂଖ୍ୟକ,No
ସଂଗୀତ,Music
ସଂଘ,Union
ସନ୍ଧ୍ୟା,Evening
ସର୍ବଶ୍ରେଷ୍ଠ,the best
ସହଜରେ,Easily
ସାଂସଦ,MP
ସିଦ୍ଧାନ୍ତ,Conclusion
ସେଠାରୁ,From there
ସେନା,Army
ସ୍ଥାପତ୍ୟ,Architecture
ସ୍ଥାପନା,Installation
ସ୍ଥିତି,Status
ହେବାରୁ,because
ହ୍ରଦ,Lake
୧୯୮୫,1985
୧୯୯୩,1993
୨୦୦୪,2004
୨୦୧୮,2018
୨୨,22
a,a
ଆଜି,Today
ଆଞ୍ଚଳିକ,Regional
ଆଡକୁ,towards
ଆସୁଥିବା,coming
ଆୟ,income
ଆୟୋଜିତ,Organized
ଉଦ୍ଦେଶ୍ୟ,Purpose
ଉଦ୍ଧାର,Salvation
ଉଦ୍ୟାନ,Garden
ଏପରିକି,even
ଏମିତି,Even so
କମ୍ପାନୀର,of the company
କରିପାରନ୍ତି,can
କରୁ,do
କରୁଥିଲା,was doing
କହି,saying
କ୍ରମଶଃ,gradually
ଖବର,News
ଖ୍ରୀଷ୍ଟପୂର୍ବ,BC
ଖ୍ରୀଷ୍ଟାବ୍ଦ,A.D
ଗଣନା,count
ଗାଁରେ,In the village
ଗିରଫ,Arrest
ଗୀତଗୁଡ଼ିକ,Songs
ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ,Important
ଗ୍ରନ୍ଥ,Text
ଚରଣ,phase
ଚାରୋଟି,Four
ଛାତ୍ର,Student
ଜଡିତ,involved
ଜାରି,Continued
ଜାହାଜ,Ship
ଜେନା,Jenna
ଜେନେଟିକ,Genetic
ଜୈନ,Jain
ଜ୍ଞାନ,Knowledge
ତାପମାତ୍ରା,Temperature
ତା’ପରେ,After that
ତୁଳନାରେ,In comparison
ତ୍ରିପାଠୀ,Tripathi
ଥିଲେ।,was
ଦଣ୍ଡ,Punishment
ଦୀର୍ଘ,Long
ଦୂରତା,Distance
ଦେଖିଲେ,Saw
ଧକ୍କା,hit
ନା,No
ନାରୀ,woman
ନିର୍ଦ୍ଦେଶ,Instruction
ନିୟୋଜିତ,Engaged
ନୃସିଂହ,Narasingha
ପଦ୍ଧତି,method
ପରିବର୍ତ୍ତେ,instead of
ପରୀକ୍ଷଣ,Test
ପାଣିରେ,in the water
ପାରିବ,Can
ପୁରାଣ,Purana
ପୂର୍ବତନ,Ex
ପେଟ,Stomach
ପ୍ରକୃତି,Nature
ପ୍ରଚଳନ,trend
ପ୍ରଜା,People
ପ୍ରତିଯୋଗିତାରେ,In competition
ପ୍ରଦର୍ଶିତ,Displayed
ପ୍ରବନ୍ଧ,Essay
ପ୍ରଶାନ୍ତ,Pacific
ପ୍ରସ୍ତର,stone
ପ୍ରାରମ୍ଭିକ,Initial
ବନ୍ଧୁ,friend
ବାଟ,Way
ବାନ୍ତି,Vomiting
ବାହାରକୁ,Get out
ବିନା,without
ବିଷ୍ଣୁ,Vishnu
ବେକ,Neck
ବ୍ୟକ୍ତିଗତ,Private
ଭାଙ୍ଗି,broken
ଭାର,Load
ଭି,V
ଭିତରକୁ,In
ଭୁବନେଶ୍ୱର,Bhubaneswar
ମନ,Mind
ମନା,Refusal
ମସଲା,spice
ମହାରାଜା,Maharaja
ମାତ୍ରା,Dose
ମାଧ୍ୟମ,medium
ମିଳିଛି,Got it
ମିଳୁଥିବା,found
ମୁସଲମାନ,Muslim
ମୂଖ୍ୟତଃ,Mainly
ମୃତ୍ୟୁର,of death
ଯତ୍ନ,Care
ଯାଇଛି,Gone
ଯାଇଥାଏ,goes
ରହିଥାନ୍ତି,are living
ରାଜି,Agreed
ରାୟ,Verdict
ଲାଗୁ,App
ଲାଲ,Red
ଲେଖିକା,Writer
ଲୌହ,Iron
ଶରତ,Autumn
ଶିଳ୍ପ,Industry
ଶୁକ୍ଳ,dry
ସଂଗ୍ରାମୀ,Fighter
ସଭାର,Assembly
ସଭ୍ୟ,Civilized
ସମ୍ପୁର୍ଣ୍ଣ,Complete
ସମ୍ରାଟ,Emperor
ସମୟକ୍ରମେ,over time
ସହାୟତାରେ,with help
ସାଂସ୍କୃତିକ,Cultural
ସାଗର,Sea
ସିନ୍ଧୁ,Indus
ସୀମିତ,Limited
ହେବାପରେ,When
୧୨ଟି,12
୧୯୬୭,1967
୨ଟି,2
୨୦୦୨,2002
୨୦୦୭ରେ,In 2007
୨୦୧୦,2010
୨୦୧୨,2012
୨୦୧୫ରେ,In 2015
୪୦,40
୫ଟି,5
ଅଧ୍ୟାପକ,Lecturer
ଅନୁସନ୍ଧାନ,Research
ଅନ୍ତର୍ଜାତୀୟ,International
ଅଭିହିତ,Accused
ଅଭ୍ୟାସ,Practice
ଅମ୍ଳଜାନ,Oxygen
ଅରଣ୍ୟ,Forest
ଅରୁଣ,Arun
ଅର୍ଥାତ୍,ie
ଅର୍ପଣ,Offering
ଆଡ଼କୁ,toward
ଆଦିରେ,In the beginning
ଆନ୍ଦୋଳନର,of movement
ଆସିଛି,has come
ଆସିଥିଲା,came
ଆସୁଛନ୍ତି,coming
ଆସେ,comes
ଉଦ୍ୟମରେ,in effort
ଉପକାର,Benefit
ଉର୍ଦ୍ଧ୍ୱ,Height
ଋଷି,Russian
ଏକାଧିକ,Multiple
ଏଠାରୁ,From here
ଏପ୍ରିଲ,April
ଏଭଳି,Thus
ଏମ୍,M
କରା,Done
କରୁଥିଲେ।,was doing.
କଳାରେ,in art
କହନ୍ତି,says
କାଗଜ,Paper
କାଟି,cut
କାଳରୁ,since time immemorial
କୁହାଯାଇଛି,It has been said
କୃତ୍ରିମ,Artificial
କେନ୍ଦ୍ରରେ,In the center
କ୍ଷେତ୍ରଫଳ,field
ଖାଇଲେ,ate
ଗଣେଶ,Ganesh
ଗର୍ଭ,womb
ଗଲା,Gone
ଗାଡ଼ି,rolling
ଗୃହ,House
ଚାଳନା,Driving
ଚିନ୍ତା,worry
ଚୀନ୍,China
ଜଡ଼ିତ,involved
ଜାପାନର,of Japan
ତ,So
ଦକ୍ଷ,efficient
ଦିଆଗଲା,Given
ଦିଗ,Direction
ଦେଉଳ,Don't give
ଦୈନିକ,Daily
ଧର୍ମରେ,In religion
ଧାରଣା,concept
ଧାର୍ମିକ,Righteous
ଧ୍ୟାନ,Attention
ନଦୀରେ,in the river
ନମ୍ବର,No
ନରେନ୍ଦ୍ର,Narendra
ନାନା,Nana
ନିଆଯାଇଥିଲା,was taken
ନିକଟତମ,the closest
ନେତୃତ୍ୱ,Leadership
ପଞ୍ଜାବୀ,Punjabi
ପଟେ,On the other hand
ପରସ୍ପର,each other
ପରିସ୍ରା,Urine
ପରୀକ୍ଷାରେ,In the exam
ପାକିସ୍ତାନ,Pakistan
ପାଟିରେ,In the mouth
ପାରନ୍ତି,can
ପିଲାମାନେ,Children
ପୂରଣ,Completion
ପୃଥିବୀ,Earth
ପ୍ରକୃତରେ,Indeed
ପ୍ରଚେଷ୍ଟା,Try
ପ୍ରତିକ୍ରିୟାରେ,In response
ପ୍ରତିଷ୍ଠାତା,Founder
ପ୍ରସାଦ,Prasad
ବଂଶର,of descent
ବଙ୍ଗାଳୀ,Balling
ବନ୍ଧ,Dam
ବନ୍ଧୁତା,friendship
ବର୍ତ୍ତମାନର,Current
ବସି,Sitting down
ବସ୍ତୁ,object
ବସ୍ତ୍ର,Clothes
ବହି,Book
ବାକି,The rest
ବାଘଙ୍କ,tiger's
ବାଲେଶ୍ୱର,Baltimore
ବାଳିକା,Girls
ବାହ୍ୟ,outside
ବିଚରଣ,Interrogation
ବିଜୟୀ,victorious
ବିଦେଶରେ,Abroad
ବିଧି,statute
ବିବରଣୀ,Details
ବୁଝାଏ,Explains
ବ୍ୟବ‌ହୃତ,Used
ଭାଗବତ,Bhagwat
ଭୌଗୋଳିକ,geographical
ଭ୍ରମଣ,Travel
ମଞ୍ଜି,The seed
ମଧ୍ଯ,also
ମନୋନୀତ,Selected
ମନ୍ତ୍ର,Mantra
ମହାଦେବ,Mahadev
ମହାପ୍ରଭୁ,Lord
ମାନଙ୍କର,of
ମାପ,Measure
ମାମଲା,Case
ମିଶାଇ,including
ମୋଟା,Thick
ଯାହାଦ୍ୱାରା,so that
ଯିଏକି,whoever
ଯୁକ୍ତ,compounded
ଯୁବ,Youth
ଯେଉଁମାନେ,who
ଯେକୌଣସି,Any
ଯୋଗାଣ,Supply
ଯୋଗ୍ୟ,Worthy
ରଖାଯାଏ,is kept
ରାଜସ୍ୱ,Revenue
ରାଣୀ,Queen
ରାମଚନ୍ଦ୍ର,Ramachandra
ଲକ୍ଷ୍ମୀ,Lakshmi
ଶବ୍ଦଟି,The word
ଶିକ୍ଷାଗତ,Educational
ଶ୍ରୀଲଙ୍କାର,of Sri Lanka
ସକାଳ,Morning
ସକ୍ଷମ,Able
ସମାନତା,Equality
ସମ୍ପନ୍ନ,Done
ସମ୍ପର୍କୀୟ,relative
ସମ୍ବନ୍ଧରେ,regarding
ସମ୍ଭାବ୍ୟ,Possible
ସମ୍ମୁଖରେ,in front of
ସହଜ,Easy
ସାମ୍ରାଜ୍ୟ,Empire
ସିଧା,Straight
ହୁଏ।,happens.
ହୃତ୍‌ପିଣ୍ଡ,Heart
୧୯,19
୧୯୫୮,1958
୧୯୬୦,1960
୧୯୬୧,1961
୧୯୮୦,1980
୧୯୮୧,1981
୧୯୮୮,1988
୧୯୯୫,1995
୨ୟ,2nd
୨୦୦୭,2007
୨୦୦୮,2008
୨୦୧୬ରେ,In 2016
୨୦୧୭ରେ,In 2017
୨୦୨୦,2020
୩ଟି,3
୬୦,60
୭ଟି,7
in,in
low,low
ଅଜ୍ଞାତ,unknown
ଅଟେ।,is
ଅତିଥି,Guest
ଅଥବା,Or
ଅଦାଲତ,Court
ଅଧ୍ୟାୟ,Chapter
ଅବସରରେ,On occasion
ଆଣି,brought
ଆତ୍ମହତ୍ୟା,Suicide
ଆଦେଶ,Order
ଆଫ୍ରିକୀୟ,African
ଆବିଷ୍କାର,Discovery
ଆରୋଗ୍ୟ,Healing
ଆସିଥାନ୍ତି,They come
ଆସିଲା,came
ଉତ୍ତୀର୍ଣ୍ଣ,passed
ଉଦ୍ୟାନରେ,in the garden
ଏକଦା,Once upon a time
ଏକାଠି,Together
ଏତେ,So much
ଏସିଆର,of Asia
ଏୟାର,Air
ଓଜନିଆ,weighty
କଟା,cut
କରନ୍ତି।,does.
କରାଯାଉଥିବା,being done
କରିଛନ୍ତି।,Done.
କରିସାରିଛନ୍ତି,done
କଲେ।,did.
କିମ୍ବଦନ୍ତୀ,Legend
କୂଳରେ,on the shore
କେନେଡ଼ି,Kennedy
ଖୋଦିତ,Engraved
ଖ୍ୟାତ,Famous
ଗୋଡ଼,legs
ଗ୍ରୀକ୍,Greek
ଗ୍ରୀଷ୍ମ,Summer
ଘାଟ,Ghat
ଚିକିତ୍ସାରେ,in treatment
ଚୀନର,of China
ଜଙ୍ଗଲର,of the forest
ଜର୍ମାନୀ,Germany
ଜଳବାୟୁ,Climate
ଜାଣି,knowing
ଜାଣିବାକୁ,to know
ଜିତିଥିଲେ,won
ଝରଣା,Stream
ଟିକେ,A bit
ଠାକୁର,Chorus
ତପସ୍ୟା,Penance
ତୁ,you
ତୁଳସୀ,Tuscany
ତୃଣଭୋଜୀ,herbivore
ଦକ୍ଷିଣରେ,in the south
ଦଶ,Ten
ଦାଗ,Stain
ଦୁଇଜଣ,Two
ଦୁନିଆରେ,in the world
ଦେଇଥିଲେ।,gave
ଦେଉଥିଲେ,was giving
ଦେହ,Body
ନାଟକରେ,In the play
ନାହିଁ।,No.
ନିକଟବର୍ତ୍ତୀ,near
ନିଜସ୍ୱ,own
ନିରନ୍ତର,Continually
ନିର୍ଦ୍ଦେଶନାରେ,under direction
ନିର୍ବାହ,Execution
ନେପାଳର,of Nepal
ପକ୍ଷ,side
ପଛକୁ,Back
ପଛରେ,Behind
ପଞ୍ଜାବ,Punjab
ପଟ,side
ପଡେ,falls
ପଢ଼ିଥିଲେ,had studied
ପଥ,Path
ପରିଗଣିତ,considered
ପରିବର୍ତ୍ତିତ,Changed
ପରିମାଣରେ,in quantity
ପର୍ଯ୍ୟଟକଙ୍କ,Tourists
ପହଞ୍ଚି,Arrived
ପହଞ୍ଚିଲେ,Arrived
ପାଆନ୍ତି,gets
ପାଞ୍ଚ,Five
ପାଦ,Foot
ପାଦରେ,on foot
ପାରେ,Can
ପାର୍ଥକ୍ୟ,difference
ପାହାଡ଼,Hills
ପୁନର୍ବାର,Again
ପୁରାଣରେ,In mythology
ପୂଜାର୍ଚ୍ଚନା,Worship
ପୂର୍ଣ୍ଣିମା,full moon
ପୂର୍ବକ,In the past
ପ୍ରଣୟନ,Implementation
ପ୍ରଦେଶ,province
ପ୍ରଦେଶର,of the province
ପ୍ରବାହ,Flow
ପ୍ରମାଣିତ,Proven
ଫସଲ,crop
ଫୁଟବଲ,Football
ଫୁଲା,Swollen
ବଜାର,Market
ବଦଳରେ,instead of
ବର,Bride
ବଳରେ,by force
ବାଘୁଣୀ,Tiger
ବାଣିଜ୍ୟ,Commerce
ବାବଦରେ,In between
ବାଳକ,Boy
ବିଜ୍ଞାନରେ,in science
ବିଜ୍ଞାନୀ,Scientist
ବିରଳ,Rare
ବିଶେଷତଃ,Especially
ବିହାର,Bihar
ବୁଦ୍ଧ,Buddha
ବୃହତ,Large
ବ୍ୟବସ୍ଥାରେ,in arrangement
ବ୍ୟାୟାମ,Exercise
ଭକ୍ତି,Devotion
ଭର୍ତ୍ତି,stuffed
ଭାରତକୁ,to India
ମଙ୍ଗଳ,Mars
ମଡେଲ,model
ମତେ,Me
ମଦ୍ୟ,Alcohol
ମଧ୍ୟକୁ,between
ମହିଳାମାନେ,Women
ମାଂସ,Meat
ମାନଙ୍କଦ୍ୱାରା,by
ମାସର,of the month
ମିନିଟ,min
ମିନିଟ୍,min
ମୁଖ୍ୟମନ୍ତ୍ରୀ,Chief Minister
ମୁତାବକ,Appropriate
ମୁଦ୍ରା,Currency
ମୃତ,Dead
ମେ,May
ମେଡିକାଲ,Medical center
ଯାଇଥାନ୍ତି,are gone
ରକ୍ତସ୍ରାବ,Bleeding
ରଖନ୍ତି,keep
ରଖାଯାଇଛି,is kept
ରଘୁନାଥ,Raghunath
ରଥର,of the chariot
ରହନ୍ତି,Lives
ରହୁଥିଲେ,Lived
ରାଉତ,Rout
ରାଜନୀତିଜ୍ଞ,Politician
ରାଜୁତି,Rajuthi
ରାସ୍ତାରେ,on the road
ରେଖା,line
ଲକ୍ଷ୍ମଣ,Lakshmana
ଲଙ୍କା,Pepper
ଲାଗିଛି,It's stuck
ଲାଲ୍,Red
ଲୋହିତ,Red
ଶକ୍ତିର,of strength
ଶକ୍ତିଶାଳୀ,Strong
ଶବ୍ଦରୁ,from the word
ଶାନ୍ତି,Peace
ଶିକ୍ଷାଦାନ,Teaching
ଶିବଙ୍କ,Shiva's
ଶୈଳୀରେ,in style
ଶ୍ରୀରାମକୃଷ୍ଣ,Sri Ramakrishna
ଷଷ୍ଠ,Sixth
ସଂଯୋଜନା,Coordination
ସଂସ୍କରଣ,version
ସଂସ୍କାର,Reformation
ସତ୍ୟ,True
ସନ୍ଥ,Saint
ସନ୍ଦେହ,Suspicion
ସବୁବେଳେ,Always
ସମସ୍ତଙ୍କୁ,Everyone
